time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
5510,3/16/2022 18:39,36.55903738,-89.07436786,29.855644,29.855644,367.7434612,397.5991052,0,0,0,0,16,0,14.266,397.5991052,29.855644,0,0,0,0,-0.671082,359.9,4.5,-2.5,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-90,0,93,,,,,,,15.88,29.950016,397.5991052,29.855644,14,Waypoint,
5610,3/16/2022 18:39,36.55903732,-89.07436772,30.839896,30.839896,367.7434612,398.5833572,0,0,0.047036419,0.047036419,16,0,14.266,398.5833572,30.839896,0,0.047036419,0,0,-0.671082,359.9,2.9,-2.4,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-90,0,93,,,,,,,15.88,29.950016,398.5833572,30.839896,14,Waypoint,Mission did take off
5710,3/16/2022 18:39,36.55903731,-89.07436755,31.824148,31.824148,367.7434612,399.5676092,0,0,0.095541014,0.096559058,16,0,14.266,399.5676092,31.824148,0,0.095541014,0,0,-0.671082,359.9,1.6,-2.6,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-90,0,93,,,,,,,15.88,29.950016,399.5676092,31.824148,14,Waypoint,
5810,3/16/2022 18:39,36.5590373,-89.0743674,32.8084,32.8084,367.7434612,400.5518612,0,0,0.139808732,0.141237537,16,0,14.266,400.5518612,32.8084,0,0.139808732,0,0,-0.671082,359.9,1.2,-3.2,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-90,0,93,,,,,,,15.88,29.950016,400.5518612,32.8084,14,Waypoint,
5910,3/16/2022 18:39,36.5590373,-89.07436728,33.792652,33.792652,367.7434612,401.5361132,0,0.223694,0.174552827,0.17664994,16,0,14.266,401.5361132,33.792652,0.223694,0.174552827,0,0,-0.671082,359.9,1.5,-3.6,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-89.9,0,93,,,,,,,15.88,29.950016,401.5361132,33.792652,14,Waypoint,
6010,3/16/2022 18:39,36.55903731,-89.07436719,34.776904,34.776904,367.7434612,402.5203652,0,0.223694,0.198954075,0.202494101,16,0,14.266,402.5203652,34.776904,0.223694,0.198954075,0,0,-0.671082,359.9,2,-4.1,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-90,0,93,,,,,,,15.88,29.950016,402.5203652,34.776904,14,Waypoint,
6110,3/16/2022 18:39,36.55903733,-89.07436712,35.761156,35.761156,367.7434612,403.5046172,0,0,0.22031628,0.225235243,16,0,14.48,403.5046172,35.761156,0.223694,0.22031628,0,0,-0.671082,359.9,2,-4.2,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-90,0,93,,,,,,,16.478,30.9500114,403.5046172,35.761156,14,Waypoint,
6210,3/16/2022 18:39,36.55903734,-89.07436705,36.745408,36.745408,367.7434612,404.4888692,0,0,0.239807422,0.245848433,15,0,14.48,404.4888692,36.745408,0.223694,0.239807422,0,0,-0.671082,359.9,1.8,-4.2,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-89.9,0,93,,,,,,,16.478,30.9500114,404.4888692,36.745408,14,Waypoint,
6310,3/16/2022 18:39,36.55903734,-89.07436698,37.72966,37.72966,367.7434612,405.4731212,0,0,0.258797909,0.264838919,15,0,14.48,405.4731212,37.72966,0.223694,0.258797909,0,0,-0.671082,359.9,2.2,-3.6,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-89.9,0,93,,,,,,,16.478,30.9500114,405.4731212,37.72966,14,Waypoint,
6410,3/16/2022 18:39,36.55903732,-89.07436691,38.713912,38.713912,367.7434612,406.4573732,0,0,0.281440954,0.288069563,16,0,14.48,406.4573732,38.713912,0.223694,0.281440954,0,0,-0.671082,359.9,2.7,-3.1,0,0,1024,1024,1024,1024,0,0,0,0,254.4,-90,0,93,,,,,,,16.478,30.9500114,406.4573732,38.713912,14,Waypoint,
