#,Date-Time (CDT),Temperature   (°F),RH   (%),Dew Point   (°F),Host Connected,Stopped,End of File
1,05/03/2023 14:51:44,75.78,22.960,35.34,,,
2,05/03/2023 14:56:44,74.03,24.020,35.01,,,
3,05/03/2023 15:01:44,72.86,24.310,34.32,,,
4,05/03/2023 15:06:44,72.23,24.910,34.40,,,
5,05/03/2023 15:11:44,71.80,25.180,34.30,,,
6,05/03/2023 15:16:44,71.53,25.730,34.62,,,
7,05/03/2023 15:21:44,71.37,26.120,34.85,,,
8,05/03/2023 15:26:44,71.19,25.830,34.42,,,
9,05/03/2023 15:31:44,71.10,25.780,34.29,,,
10,05/03/2023 15:36:44,71.02,26.220,34.66,,,
11,05/03/2023 15:41:44,71.06,26.500,34.95,,,
12,05/03/2023 15:46:44,71.10,26.440,34.93,,,
13,05/03/2023 15:51:44,71.10,26.150,34.66,,,
14,05/03/2023 15:56:44,71.10,26.140,34.64,,,
15,05/03/2023 16:01:44,71.15,26.090,34.64,,,
16,05/03/2023 16:06:44,71.15,25.930,34.49,,,
17,05/03/2023 16:11:44,71.19,25.840,34.43,,,
18,05/03/2023 16:16:44,71.19,25.870,34.46,,,
19,05/03/2023 16:21:44,71.19,25.560,34.16,,,
20,05/03/2023 16:26:44,71.19,25.760,34.36,,,
21,05/03/2023 16:31:44,71.24,25.750,34.39,,,
22,05/03/2023 16:36:44,71.28,25.710,34.38,,,
23,05/03/2023 16:41:44,71.28,25.260,33.94,,,
24,05/03/2023 16:46:44,71.28,25.380,34.06,,,
25,05/03/2023 16:51:44,71.31,25.420,34.13,,,
26,05/03/2023 16:56:44,71.37,25.790,34.54,,,
27,05/03/2023 17:01:44,71.40,26.150,34.92,,,
28,05/03/2023 17:06:44,71.44,26.350,35.14,,,
29,05/03/2023 17:11:44,71.53,26.460,35.32,,,
30,05/03/2023 17:16:44,71.58,26.560,35.45,,,
31,05/03/2023 17:21:44,71.62,26.640,35.56,,,
32,05/03/2023 17:26:44,71.65,26.700,35.65,,,
33,05/03/2023 17:31:44,71.71,26.810,35.80,,,
34,05/03/2023 17:36:44,71.74,26.880,35.90,,,
35,05/03/2023 17:41:44,71.80,26.920,35.98,,,
36,05/03/2023 17:46:44,71.83,27.010,36.10,,,
37,05/03/2023 17:51:44,71.87,27.080,36.19,,,
38,05/03/2023 17:56:44,71.87,27.100,36.21,,,
39,05/03/2023 18:01:44,71.92,27.190,36.34,,,
40,05/03/2023 18:06:44,71.96,27.280,36.45,,,
41,05/03/2023 18:11:44,71.96,27.310,36.48,,,
42,05/03/2023 18:16:44,71.96,27.370,36.54,,,
43,05/03/2023 18:21:44,71.96,27.440,36.60,,,
44,05/03/2023 18:26:44,71.96,27.500,36.66,,,
45,05/03/2023 18:31:44,71.96,27.550,36.70,,,
46,05/03/2023 18:36:44,71.92,27.630,36.75,,,
47,05/03/2023 18:41:44,71.92,27.720,36.83,,,
48,05/03/2023 18:46:44,71.87,27.780,36.84,,,
49,05/03/2023 18:51:44,71.87,27.840,36.89,,,
50,05/03/2023 18:56:44,71.83,27.910,36.92,,,
51,05/03/2023 19:01:44,71.83,28.000,37.00,,,
52,05/03/2023 19:06:44,71.80,28.050,37.02,,,
53,05/03/2023 19:11:44,71.80,28.120,37.08,,,
54,05/03/2023 19:16:44,71.80,28.200,37.16,,,
55,05/03/2023 19:21:44,71.74,28.290,37.19,,,
56,05/03/2023 19:26:44,71.74,28.310,37.21,,,
57,05/03/2023 19:31:44,71.71,28.410,37.27,,,
58,05/03/2023 19:36:44,71.65,28.450,37.26,,,
59,05/03/2023 19:41:44,71.62,28.550,37.31,,,
60,05/03/2023 19:46:44,71.62,28.630,37.38,,,
61,05/03/2023 19:51:44,71.58,28.690,37.41,,,
62,05/03/2023 19:56:44,71.53,28.750,37.42,,,
63,05/03/2023 20:01:44,71.49,28.830,37.45,,,
64,05/03/2023 20:06:44,71.44,28.930,37.50,,,
65,05/03/2023 20:11:44,71.37,29.000,37.49,,,
66,05/03/2023 20:16:44,71.31,29.080,37.52,,,
67,05/03/2023 20:21:44,71.28,29.180,37.58,,,
68,05/03/2023 20:26:44,71.24,29.240,37.60,,,
69,05/03/2023 20:31:44,71.15,29.330,37.60,,,
70,05/03/2023 20:36:44,71.10,29.420,37.63,,,
71,05/03/2023 20:41:44,71.06,29.490,37.66,,,
72,05/03/2023 20:46:44,70.97,29.610,37.68,,,
73,05/03/2023 20:51:44,70.93,29.680,37.71,,,
74,05/03/2023 20:56:44,70.84,29.790,37.73,,,
75,05/03/2023 21:01:44,70.81,29.880,37.77,,,
76,05/03/2023 21:06:44,70.72,29.970,37.77,,,
77,05/03/2023 21:11:44,70.63,30.060,37.77,,,
78,05/03/2023 21:16:44,70.59,30.140,37.81,,,
79,05/03/2023 21:21:44,70.50,30.240,37.82,,,
80,05/03/2023 21:26:44,70.47,30.350,37.87,,,
81,05/03/2023 21:31:44,70.32,30.430,37.82,,,
82,05/03/2023 21:36:44,70.41,30.490,37.95,,,
83,05/03/2023 21:41:44,70.50,30.470,38.01,,,
84,05/03/2023 21:46:44,70.54,30.450,38.02,,,
85,05/03/2023 21:51:44,70.47,30.510,38.01,,,
86,05/03/2023 21:56:44,70.38,30.590,38.00,,,
87,05/03/2023 22:01:44,70.29,30.670,37.99,,,
88,05/03/2023 22:06:44,70.20,30.770,37.99,,,
89,05/03/2023 22:11:44,70.11,30.880,38.00,,,
90,05/03/2023 22:16:44,70.03,30.970,38.02,,,
91,05/03/2023 22:21:44,69.94,31.060,38.01,,,
92,05/03/2023 22:26:44,69.82,31.180,38.00,,,
93,05/03/2023 22:31:44,69.73,31.290,38.01,,,
94,05/03/2023 22:36:44,69.64,31.400,38.02,,,
95,05/03/2023 22:41:44,69.51,31.510,38.00,,,
96,05/03/2023 22:46:44,69.42,31.590,37.99,,,
97,05/03/2023 22:51:44,69.35,31.650,37.98,,,
98,05/03/2023 22:56:44,69.42,31.690,38.07,,,
99,05/03/2023 23:01:44,69.51,31.630,38.10,,,
100,05/03/2023 23:06:44,69.64,31.590,38.18,,,
101,05/03/2023 23:11:44,69.73,31.570,38.24,,,
102,05/03/2023 23:16:44,69.73,31.550,38.22,,,
103,05/03/2023 23:21:44,69.69,31.570,38.21,,,
104,05/03/2023 23:26:44,69.64,31.610,38.19,,,
105,05/03/2023 23:31:44,69.55,31.700,38.18,,,
106,05/03/2023 23:36:44,69.48,31.750,38.17,,,
107,05/03/2023 23:41:44,69.39,31.810,38.14,,,
108,05/03/2023 23:46:44,69.35,31.910,38.18,,,
109,05/03/2023 23:51:44,69.35,31.970,38.23,,,
110,05/03/2023 23:56:44,69.26,32.030,38.20,,,
111,05/04/2023 00:01:44,69.17,32.070,38.16,,,
112,05/04/2023 00:06:44,69.08,32.170,38.16,,,
113,05/04/2023 00:11:44,69.08,32.230,38.20,,,
114,05/04/2023 00:16:44,69.13,32.220,38.24,,,
115,05/04/2023 00:21:44,69.21,32.200,38.29,,,
116,05/04/2023 00:26:44,69.30,32.150,38.33,,,
117,05/04/2023 00:31:44,69.39,32.090,38.36,,,
118,05/04/2023 00:36:44,69.48,32.050,38.40,,,
119,05/04/2023 00:41:44,69.55,32.030,38.45,,,
120,05/04/2023 00:46:44,69.64,31.970,38.48,,,
121,05/04/2023 00:51:44,69.69,31.940,38.51,,,
122,05/04/2023 00:56:44,69.64,31.930,38.45,,,
123,05/04/2023 01:01:44,69.55,31.950,38.39,,,
124,05/04/2023 01:06:44,69.48,32.030,38.39,,,
125,05/04/2023 01:11:44,69.35,32.110,38.34,,,
126,05/04/2023 01:16:44,69.21,32.200,38.29,,,
127,05/04/2023 01:21:44,69.08,32.320,38.28,,,
128,05/04/2023 01:26:44,69.04,32.420,38.32,,,
129,05/04/2023 01:31:44,69.01,32.470,38.33,,,
130,05/04/2023 01:36:44,68.86,32.560,38.28,,,
131,05/04/2023 01:41:44,68.74,32.670,38.25,,,
132,05/04/2023 01:46:44,68.65,32.790,38.26,,,
133,05/04/2023 01:51:44,68.70,32.830,38.34,,,
134,05/04/2023 01:56:44,68.74,32.820,38.37,,,
135,05/04/2023 02:01:44,68.83,32.810,38.44,,,
136,05/04/2023 02:06:44,68.86,32.790,38.45,,,
137,05/04/2023 02:11:44,68.95,32.730,38.49,,,
138,05/04/2023 02:16:44,69.01,32.710,38.52,,,
139,05/04/2023 02:21:44,69.08,32.670,38.55,,,
140,05/04/2023 02:26:44,69.13,32.620,38.56,,,
141,05/04/2023 02:31:44,69.17,32.620,38.59,,,
142,05/04/2023 02:36:44,69.21,32.590,38.59,,,
143,05/04/2023 02:41:44,69.26,32.570,38.63,,,
144,05/04/2023 02:46:44,69.30,32.570,38.66,,,
145,05/04/2023 02:51:44,69.26,32.560,38.62,,,
146,05/04/2023 02:56:44,69.17,32.640,38.60,,,
147,05/04/2023 03:01:44,69.04,32.720,38.56,,,
148,05/04/2023 03:06:44,68.92,32.830,38.53,,,
149,05/04/2023 03:11:44,68.74,32.930,38.46,,,
150,05/04/2023 03:16:44,68.61,33.050,38.43,,,
151,05/04/2023 03:21:44,68.49,33.160,38.41,,,
152,05/04/2023 03:26:44,68.31,33.300,38.36,,,
153,05/04/2023 03:31:44,68.23,33.430,38.39,,,
154,05/04/2023 03:36:44,68.18,33.560,38.45,,,
155,05/04/2023 03:41:44,68.31,33.520,38.53,,,
156,05/04/2023 03:46:44,68.40,33.460,38.56,,,
157,05/04/2023 03:51:44,68.45,33.430,38.58,,,
158,05/04/2023 03:56:44,68.49,33.400,38.60,,,
159,05/04/2023 04:01:44,68.58,33.380,38.66,,,
160,05/04/2023 04:06:44,68.61,33.340,38.66,,,
161,05/04/2023 04:11:44,68.65,33.330,38.68,,,
162,05/04/2023 04:16:44,68.70,33.300,38.71,,,
163,05/04/2023 04:21:44,68.79,33.260,38.76,,,
164,05/04/2023 04:26:44,68.79,33.240,38.74,,,
165,05/04/2023 04:31:44,68.83,33.220,38.76,,,
166,05/04/2023 04:36:44,68.86,33.230,38.79,,,
167,05/04/2023 04:41:44,68.92,33.200,38.82,,,
168,05/04/2023 04:46:44,68.95,33.180,38.84,,,
169,05/04/2023 04:51:44,69.01,33.150,38.86,,,
170,05/04/2023 04:56:44,69.04,33.140,38.88,,,
171,05/04/2023 05:01:44,69.04,33.120,38.87,,,
172,05/04/2023 05:06:44,69.04,33.140,38.88,,,
173,05/04/2023 05:11:44,69.08,33.120,38.90,,,
174,05/04/2023 05:16:44,69.08,33.140,38.92,,,
175,05/04/2023 05:21:44,69.08,33.150,38.92,,,
176,05/04/2023 05:26:44,69.13,33.150,38.97,,,
177,05/04/2023 05:31:44,69.13,33.170,38.99,,,
178,05/04/2023 05:36:44,69.13,33.180,39.00,,,
179,05/04/2023 05:41:44,69.13,33.180,38.99,,,
180,05/04/2023 05:46:44,69.08,33.200,38.96,,,
181,05/04/2023 05:51:44,69.17,33.200,39.04,,,
182,05/04/2023 05:56:44,69.17,33.200,39.04,,,
183,05/04/2023 06:01:44,69.17,33.220,39.05,,,
184,05/04/2023 06:06:44,69.17,33.220,39.05,,,
185,05/04/2023 06:11:44,69.17,33.230,39.06,,,
186,05/04/2023 06:16:44,69.17,33.250,39.07,,,
187,05/04/2023 06:21:44,69.17,33.260,39.08,,,
188,05/04/2023 06:26:44,69.17,33.280,39.10,,,
189,05/04/2023 06:31:44,69.17,33.310,39.12,,,
190,05/04/2023 06:36:44,69.13,33.340,39.12,,,
191,05/04/2023 06:41:44,69.13,33.360,39.13,,,
192,05/04/2023 06:46:44,69.13,33.390,39.15,,,
193,05/04/2023 06:51:44,69.13,33.400,39.16,,,
194,05/04/2023 06:56:44,69.17,33.400,39.20,,,
195,05/04/2023 07:01:44,69.13,33.420,39.18,,,
196,05/04/2023 07:06:44,69.04,33.480,39.15,,,
197,05/04/2023 07:11:44,68.95,33.590,39.15,,,
198,05/04/2023 07:16:44,68.83,33.700,39.12,,,
199,05/04/2023 07:21:44,68.74,33.820,39.13,,,
200,05/04/2023 07:26:44,68.61,33.940,39.11,,,
201,05/04/2023 07:31:44,68.58,34.010,39.14,,,
202,05/04/2023 07:36:44,68.49,34.080,39.11,,,
203,05/04/2023 07:41:44,68.40,34.120,39.06,,,
204,05/04/2023 07:46:44,68.40,34.230,39.14,,,
205,05/04/2023 07:51:44,68.52,34.170,39.21,,,
206,05/04/2023 07:56:44,68.61,34.120,39.25,,,
207,05/04/2023 08:01:44,68.70,34.050,39.28,,,
208,05/04/2023 08:06:44,68.79,34.010,39.33,,,
209,05/04/2023 08:11:44,68.92,33.940,39.38,,,
210,05/04/2023 08:16:44,69.01,33.880,39.42,,,
211,05/04/2023 08:21:44,69.13,33.820,39.48,,,
212,05/04/2023 08:26:44,69.26,33.770,39.55,,,
213,05/04/2023 08:31:44,69.26,33.720,39.52,,,
214,05/04/2023 08:36:44,69.26,33.870,39.63,,,
215,05/04/2023 08:41:44,69.35,33.730,39.60,,,
216,05/04/2023 08:46:44,69.48,33.610,39.62,,,
217,05/04/2023 08:51:44,69.51,33.550,39.61,,,
218,05/04/2023 08:56:44,69.60,33.400,39.57,,,
219,05/04/2023 09:01:44,69.69,33.390,39.64,,,
220,05/04/2023 09:06:44,69.69,33.380,39.63,,,
221,05/04/2023 09:11:44,69.64,33.390,39.59,,,
222,05/04/2023 09:16:44,69.64,33.260,39.49,,,
223,05/04/2023 09:21:44,69.55,32.750,39.02,,,
224,05/04/2023 09:26:44,69.48,32.880,39.06,,,
225,05/04/2023 09:31:44,69.51,32.890,39.10,,,
226,05/04/2023 09:36:44,69.51,32.620,38.89,,,
227,05/04/2023 09:41:44,69.55,32.350,38.70,,,
228,05/04/2023 09:46:44,69.60,32.480,38.86,,,
229,05/04/2023 09:51:44,69.73,32.460,38.95,,,
230,05/04/2023 09:56:44,69.73,32.570,39.04,,,
231,05/04/2023 10:01:44,69.69,32.170,38.69,,,
232,05/04/2023 10:06:44,69.76,32.040,38.65,,,
233,05/04/2023 10:11:44,69.94,32.070,38.83,,,
234,05/04/2023 10:16:44,70.20,31.950,38.95,,,
235,05/04/2023 10:21:44,70.50,31.280,38.68,,,
236,05/04/2023 10:26:44,70.59,31.590,39.00,,,
237,05/04/2023 10:31:44,70.59,31.530,38.96,,,
238,05/04/2023 10:36:44,70.63,31.490,38.96,,,
239,05/04/2023 10:41:44,70.68,31.520,39.03,,,
240,05/04/2023 10:46:44,70.72,30.620,38.32,,,
241,05/04/2023 10:51:44,70.72,31.110,38.73,,,
242,05/04/2023 10:56:44,70.72,30.990,38.63,,,
243,05/04/2023 11:01:44,70.72,30.940,38.58,,,
244,05/04/2023 11:06:44,70.72,30.730,38.41,,,
245,05/04/2023 11:11:44,70.72,30.800,38.47,,,
246,05/04/2023 11:16:44,70.75,30.760,38.46,,,
247,05/04/2023 11:21:44,70.75,30.810,38.51,,,
248,05/04/2023 11:26:44,70.72,30.490,38.21,,,
249,05/04/2023 11:31:44,70.72,30.740,38.42,,,
250,05/04/2023 11:36:44,70.72,30.510,38.22,,,
251,05/04/2023 11:41:44,70.75,29.850,37.70,,,
252,05/04/2023 11:46:44,70.81,30.000,37.88,,,
253,05/04/2023 11:51:44,70.81,30.140,37.99,,,
254,05/04/2023 11:56:44,70.84,30.020,37.92,,,
255,05/04/2023 12:01:44,70.88,29.930,37.88,,,
256,05/04/2023 12:06:44,70.93,29.980,37.97,,,
257,05/04/2023 12:11:44,70.93,29.920,37.92,,,
258,05/04/2023 12:16:44,70.97,29.950,37.97,,,
259,05/04/2023 12:21:44,71.02,29.910,37.99,,,
260,05/04/2023 12:26:44,71.06,29.960,38.06,,,
261,05/04/2023 12:31:44,71.10,29.870,38.02,,,
262,05/04/2023 12:36:44,71.19,29.530,37.81,,,
263,05/04/2023 12:41:44,71.24,29.650,37.95,,,
264,05/04/2023 12:46:44,71.24,29.600,37.91,,,
265,05/04/2023 12:51:44,71.31,29.550,37.93,,,
266,05/04/2023 12:56:44,71.37,29.640,38.05,,,
267,05/04/2023 13:01:44,71.44,29.550,38.03,,,
268,05/04/2023 13:06:44,71.49,29.440,37.99,,,
269,05/04/2023 13:11:44,71.58,29.090,37.76,,,
270,05/04/2023 13:16:44,71.65,29.100,37.83,,,
271,05/04/2023 13:21:44,71.71,29.020,37.81,,,
272,05/04/2023 13:26:44,71.80,29.000,37.87,,,
273,05/04/2023 13:31:44,71.87,28.880,37.82,,,
274,05/04/2023 13:36:44,71.92,28.390,37.44,,,
275,05/04/2023 13:41:44,72.01,28.470,37.59,,,
276,05/04/2023 13:46:44,72.05,28.340,37.50,,,
277,05/04/2023 13:51:44,72.14,28.300,37.54,,,
278,05/04/2023 13:56:44,72.18,27.720,37.04,,,
279,05/04/2023 14:01:44,72.23,28.030,37.37,,,
280,05/04/2023 14:06:44,72.27,28.170,37.53,,,
281,05/04/2023 14:11:44,72.30,27.650,37.09,,,
282,05/04/2023 14:16:44,72.39,27.600,37.12,,,
283,05/04/2023 14:21:44,72.45,27.730,37.29,,,
284,05/04/2023 14:26:44,72.52,27.900,37.50,,,
285,05/04/2023 14:31:44,72.52,27.790,37.40,,,
286,05/04/2023 14:36:44,72.61,27.530,37.24,,,
287,05/04/2023 14:41:44,72.64,27.630,37.36,,,
288,05/04/2023 14:46:44,72.70,27.660,37.43,,,
289,05/04/2023 14:51:44,72.73,27.660,37.47,,,
290,05/04/2023 14:56:44,72.82,27.390,37.30,,,
291,05/04/2023 15:01:44,72.91,27.690,37.65,,,
292,05/04/2023 15:06:44,72.95,27.680,37.67,,,
293,05/04/2023 15:11:44,73.00,27.610,37.66,,,
294,05/04/2023 15:16:44,73.04,27.910,37.96,,,
295,05/04/2023 15:21:44,73.08,27.980,38.05,,,
296,05/04/2023 15:26:44,73.13,27.780,37.92,,,
297,05/04/2023 15:31:44,73.17,27.840,38.00,,,
298,05/04/2023 15:36:44,73.22,27.660,37.88,,,
299,05/04/2023 15:41:44,73.26,27.640,37.89,,,
300,05/04/2023 15:46:44,73.29,27.760,38.04,,,
301,05/04/2023 15:51:44,73.29,27.780,38.05,,,
302,05/04/2023 15:56:44,73.35,27.890,38.21,,,
303,05/04/2023 16:01:44,73.38,27.840,38.19,,,
304,05/04/2023 16:06:44,73.47,27.730,38.17,,,
305,05/04/2023 16:11:44,73.47,27.820,38.25,,,
306,05/04/2023 16:16:44,73.51,27.800,38.26,,,
307,05/04/2023 16:21:44,73.56,27.810,38.32,,,
308,05/04/2023 16:26:44,73.56,27.830,38.34,,,
309,05/04/2023 16:31:44,73.60,27.950,38.47,,,
310,05/04/2023 16:36:44,73.60,28.000,38.52,,,
311,05/04/2023 16:41:44,73.60,28.020,38.54,,,
312,05/04/2023 16:46:44,73.65,28.090,38.65,,,
313,05/04/2023 16:51:44,73.65,28.250,38.80,,,
314,05/04/2023 16:56:44,73.65,28.310,38.85,,,
315,05/04/2023 17:01:44,73.65,28.390,38.92,,,
316,05/04/2023 17:06:44,73.69,28.560,39.11,,,
317,05/04/2023 17:11:44,73.69,28.590,39.14,,,
318,05/04/2023 17:16:44,73.69,28.720,39.24,,,
319,05/04/2023 17:21:44,73.69,28.890,39.40,,,
320,05/04/2023 17:26:44,73.69,28.940,39.45,,,
321,05/04/2023 17:31:44,73.69,29.020,39.52,,,
322,05/04/2023 17:36:44,73.65,29.120,39.57,,,
323,05/04/2023 17:41:44,73.65,29.220,39.66,,,
324,05/04/2023 17:46:44,73.60,29.320,39.70,,,
325,05/04/2023 17:51:44,73.56,29.400,39.74,,,
326,05/04/2023 17:56:44,73.56,29.470,39.80,,,
327,05/04/2023 18:01:44,73.51,29.530,39.80,,,
328,05/04/2023 18:06:44,73.47,29.640,39.87,,,
329,05/04/2023 18:11:44,73.47,29.680,39.91,,,
330,05/04/2023 18:16:44,73.44,29.770,39.95,,,
331,05/04/2023 18:21:44,73.38,29.860,39.98,,,
332,05/04/2023 18:26:44,73.35,29.910,40.00,,,
